0.00000000+0i
1.73102785+0.02423167i
3.14253814+0.09466679i
4.32417709+0.20655641i
5.34976166+0.35469329i
6.27727960+0.53341191i
7.14888938+0.73658843i
7.99092026+0.95764073i
8.81387224+1.18952837i
9.61420921+1.42491098i
10.38332471+1.65693987i
11.11650759+1.88004977i
11.81473515+2.09011710i
12.48404229+2.28443577i
13.13236687+2.46159596i
13.76639520+2.62136291i
14.39093109+2.76465266i
15.00899561+2.89342642i
15.62232576+3.01016207i
16.23187319+3.11732579i
16.83790390+3.21726635i
17.44003975+3.31215348i
18.03746587+3.40366969i
18.62913808+3.49270209i
19.21382433+3.57928074i
19.79018829+3.66262963i
20.35720691+3.74142136i
20.91458802+3.81403195i
21.46285386+3.87859168i
22.00331321+3.93306883i
22.53792196+3.97568771i
23.06914373+4.00534679i
23.59992197+4.02170235i
24.13359276+4.02517423i
24.67344886+4.01697458i
25.22230370+3.99913671i
25.78240420+3.97452078i
26.35539052+3.94673522i
26.94209475+3.91974356i
27.54233961+3.89747123i
28.15489819+3.88372698i
28.77754675+3.88213410i
29.40732866+3.89578683i
30.04081832+3.92690673i
30.67417399+3.97677389i
31.30321808+4.04574130i
31.92383904+4.13330612i
32.53239307+4.23818112i
33.12578455+4.35830891i
33.70148832+4.49093093i
34.25766129+4.63293238i
34.79325401+4.78118712i
35.30803300+4.93262667i
35.80253766+5.08428336i
36.27786482+5.23350611i
36.73545330+5.37817625i
37.17704083+5.51675065i
37.60461798+5.64824581i
38.02019770+5.77215832i
38.42558497+5.88838525i
38.82233071+5.99720824i
39.21172888+6.09925724i
39.59480216+6.19532911i
39.97228761+6.28620627i
40.34463376+6.37262036i
40.71202420+6.45524267i
41.07449511+6.53463583i
41.43205287+6.61120569i
41.78469760+6.68519158i
42.13243237+6.75668177i
42.47530926+6.82569053i
42.81347552+6.89223511i
43.14718275+6.95635124i
43.47677478+7.01810093i
43.80262705+7.07761185i
44.12508600+7.13511674i
44.44445694+7.19096118i
44.76099621+7.24559293i
45.07487194+7.29950790i
45.38612480+7.35319627i
45.69466016+7.40713170i
46.00025757+7.46176264i
46.30261797+7.51746882i
46.60141102+7.57451776i
46.89628450+7.63305609i
47.18687353+7.69311744i
47.47284634+7.75466174i
47.75395018+7.81761470i
48.03002044+7.88187562i
48.30097320+7.94732644i
48.56676800+8.01387705i
48.82737054+8.08151054i
49.08274528+8.15029227i
49.33284485+8.22036103i
49.57755745+8.29188515i
49.81665413+8.36501846i
50.04977832+8.43989154i
50.27645518+8.51659618i
50.49613863+8.59510791i
50.70825836+8.67520840i
50.91222922+8.75647001i
51.10747388+8.83826169i
51.29353612+8.91977860i
51.47019415+9.00007175i
51.63748325+9.07805391i
51.79569884+9.15252816i
51.94541182+9.22233085i
52.08748392+9.28647443i
52.22307077+9.34417603i
52.35359280+9.39487398i
52.48058991+9.43831019i
52.60557608+9.47461262i
52.73001030+9.50431169i
52.85526688+9.52831885i
52.98248705+9.54781899i
53.11243055+9.56416297i
53.24544590+9.57884607i
53.38147823+9.59347038i
53.52010803+9.60955660i
53.66058995+9.62835586i
53.80186057+9.65081210i
53.94257658+9.67755381i
54.08130565+9.70885281i
54.21671734+9.74458313i
54.34762122+9.78421270i
54.47298921+9.82683483i
54.59206676+9.87132551i
54.70448416+9.91650065i
54.81027876+9.96114755i
54.90987472+10.00405619i
55.00398144+10.04417543i
55.09349209+10.08076939i
55.17946331+10.11344861i
55.26308018+10.14216229i
55.34548132+10.16715894i
55.42758387+10.18894716i
55.51004854+10.20828779i
55.59327567+10.22615952i
55.67738569+10.24358700i
55.76219951+10.26146902i
55.84723461+10.28054406i
55.93173581+10.30137625i
56.01482886+10.32428479i
56.09567414+10.34927347i
56.17349735+10.37601651i
56.24761227+10.40388348i
56.31753440+10.43206355i
56.38309468+10.45968983i
56.44446220+10.48586421i
56.50212735+10.50968717i
56.55681754+10.53040664i
56.60941295+10.54756698i
56.66092964+10.56103872i
56.71248501+10.57101204i
56.76512476+10.57796426i
56.81964987+10.58262727i
56.87658206+10.58598100i
56.93615798+10.58921749i
56.99830044+10.59356125i
57.06258954+10.60008959i
57.12825697+10.60969668i
57.19421849+10.62307481i
57.25923652+10.64062091i
57.32208276+10.66234293i
57.38157067+10.68784117i
57.43658533+10.71633201i
57.48623248+10.74676668i
57.52998763+10.77794995i
57.56772585+10.80856392i
57.59971070+10.83720449i
57.62653862+10.86256360i
57.64908342+10.88361152i
57.66848510+10.89963335i
57.68611246+10.91023188i
57.70337568+10.91534205i
57.72153898+10.91524548i
57.74168316+10.91057329i
57.76469014+10.90227308i
57.79116597+10.89144352i
57.82136367+10.87916898i
57.85516787+10.86648644i
57.89212026+10.85436091i
57.93154688+10.84356258i
57.97268546+10.83454398i
58.01471085+10.82741535i
58.05676588+10.82196129i
58.09811554+10.81772373i
58.13830116+10.81408488i
58.17717125+10.81028386i
58.21487484+10.80545179i
58.25182804+10.79878734i
58.28868064+10.78973226i
58.32630945+10.77800648i
58.36578113+10.76361312i
58.40816643+10.74686333i
58.45435439+10.72840121i
58.50501525+10.70920877i
58.56058184+10.69057057i
58.62115688+10.67389680i
58.68642022+10.66054642i
58.75561031+10.65179176i
58.82755164+10.64878603i
58.90079197+10.65240091i
58.97373952+10.66306413i
59.04469049+10.68072696i
59.11187142+10.70487660i
59.17365138+10.73459814i
59.22875415+10.76863647i
59.27630061+10.80540865i
59.31581517+10.84304800i
59.34725772+10.87962423i
59.37105561+10.91336363i
59.38811005+10.94269315i
59.39975946+10.96626403i
59.40759639+10.98307025i
59.41328436+10.99256694i
59.41852127+10.99469405i
59.42500454+10.98985396i
59.43425694+10.97879959i
59.44745243+10.96252244i
59.46538126+10.94223020i
59.48845658+10.91930916i
59.51674693+10.89513633i
59.55000892+10.87089142i
59.58769370+10.84751932i
59.62898134+10.82572357i
59.67295261+10.80593373i
59.71876087+10.78827280i
59.76566637+10.77255070i
59.81305244+10.75829276i
59.86050638+10.74488214i
59.90790032+10.73170228i
59.95540739+10.71816539i
60.00348042+10.70373604i
60.05274539+10.68804902i
60.10389486+10.67102725i
60.15766669+10.65290537i
60.21481453+10.63421731i
60.27596055+10.61573427i
60.34144809+10.59840268i
60.41131219+10.58333184i
60.48528026+10.57176101i
60.56277543+10.56489527i
60.64291978+10.56374128i
